file,is_smelly,n_nodes,n_edges,avg_in_deg,avg_out_deg,avg_tot_deg,gini_in_deg,gini_out_deg,gini_tot_deg,hhi_in_deg,hhi_out_deg,hhi_tot_deg,maxdeg_share,top3deg_share,max_over_median_deg,centr_in_deg,centr_out_deg,centr_tot_deg,centr_betweenness,thr_mu_plus_sigma_deg,num_hubs_arcade,ratio_hubs_arcade,largest_scc_ratio
opennlp-hl-23-24-25_4665_0236_2064_8da0a97a.pt,1.0,21.0,94.0,4.476190476190476,4.476190476190476,8.952380952380953,0.42249240121580545,0.48328267477203646,0.28368794326241137,0.07831598008148483,0.09529198732458126,0.06020823902218199,0.10638297872340426,0.28191489361702127,2.4999999968749997,0.44749999999999995,0.8150000000000001,0.30526315789473696,0.13269078947368418,13.555446085178886,3.0,0.14285714285714285,0.3333333333333333
commons-lang-hl-23-24-25_158_0200_7081_44dfe905.pt,0.0,7.0,17.0,2.4285714285714284,2.4285714285714284,4.857142857142857,0.35294117647058826,0.3865546218487395,0.18487394957983191,0.2110726643598616,0.22491349480968859,0.15916955017301038,0.20588235294117646,0.5588235294117647,1.3999999972000001,0.49999999999999994,0.6944444444444445,0.2500000000000001,0.036111111111111115,6.498446470439436,1.0,0.14285714285714285,0.2857142857142857
commons-lang-hl-23-24-25_136_0034_8142_f7a8249e.pt,0.0,9.0,26.0,2.888888888888889,2.888888888888889,5.777777777777778,0.358974358974359,0.358974358974359,0.20940170940170943,0.15976331360946747,0.1715976331360947,0.1264792899408284,0.17307692307692307,0.46153846153846156,1.4999999975,0.4375,0.71875,0.25892857142857145,0.051339285714285705,7.926564400645969,2.0,0.2222222222222222,0.3333333333333333
opennlp-hl-23-24-25_4699_0078_2063_886493a6.pt,0.0,14.0,39.0,2.7857142857142856,2.7857142857142856,5.571428571428571,0.45970695970695974,0.445054945054945,0.2948717948717948,0.1295200525969757,0.15581854043392504,0.09368836291913213,0.16666666666666666,0.41025641025641024,2.8888888824691357,0.514792899408284,0.8461538461538461,0.33333333333333326,0.09122287968441814,8.681648722439606,3.0,0.21428571428571427,0.2857142857142857
opennlp-hl-23-24-25_762_0134_1995_04af04ae.pt,0.0,8.0,15.0,1.875,1.875,3.75,0.44166666666666665,0.4916666666666667,0.25,0.2177777777777778,0.28,0.1511111111111111,0.23333333333333334,0.5666666666666667,1.9999999942857143,0.5102040816326531,0.8367346938775511,0.30952380952380953,0.047619047619047616,5.463913650100261,1.0,0.125,0.125
commons-lang-hl-23-24-25_249_0426_8181_6b1da52c.pt,1.0,9.0,26.0,2.888888888888889,2.888888888888889,5.777777777777778,0.34188034188034183,0.40170940170940167,0.2435897435897436,0.15976331360946747,0.18343195266272191,0.13239644970414202,0.19230769230769232,0.5,1.666666663888889,0.578125,0.71875,0.3392857142857143,0.09821428571428573,8.306623705942453,2.0,0.2222222222222222,0.3333333333333333
commons-lang-hl-23-24-25_1719_0100_8317_d272066e.pt,0.0,4.0,6.0,1.5,1.5,3.0,0.41666666666666663,0.25,0.125,0.3888888888888889,0.3333333333333333,0.2638888888888889,0.3333333333333333,0.8333333333333334,1.333333328888889,0.6666666666666666,0.6666666666666666,0.33333333333333326,0.16666666666666666,3.7071067811865475,1.0,0.25,0.5
commons-lang-hl-23-24-25_1643_0952_7369_dc54bca9.pt,1.0,12.0,39.0,3.25,3.25,6.5,0.38247863247863245,0.4423076923076923,0.2884615384615385,0.12952005259697566,0.1545036160420776,0.10552268244575937,0.15384615384615385,0.4358974358974359,1.9999999966666666,0.5702479338842976,0.768595041322314,0.3,0.15950413223140494,9.854101966249685,3.0,0.25,0.5
opennlp-hl-23-24-25_762_0270_1997_43ba554f.pt,0.0,8.0,15.0,1.875,1.875,3.75,0.44166666666666665,0.4916666666666667,0.25,0.2177777777777778,0.28,0.1511111111111111,0.23333333333333334,0.5666666666666667,1.9999999942857143,0.5102040816326531,0.8367346938775511,0.30952380952380953,0.047619047619047616,5.463913650100261,1.0,0.125,0.125
commons-lang-hl-23-24-25_872_0884_7190_353e9fdb.pt,0.0,5.0,11.0,2.2,2.2,4.4,0.3272727272727273,0.3272727272727273,0.054545454545454494,0.2727272727272727,0.2727272727272727,0.2024793388429752,0.22727272727272727,0.6363636363636364,1.249999996875,0.5625,0.5625,0.125,0.0625,4.889897948556636,2.0,0.4,0.6
opennlp-hl-23-24-25_3066_0025_2076_617d08f5.pt,1.0,20.0,84.0,4.2,4.2,8.4,0.4166666666666667,0.4511904761904762,0.29107142857142854,0.08276643990929704,0.10175736961451246,0.0651218820861678,0.125,0.30357142857142855,3.2307692257988165,0.5429362880886427,0.8199445983379503,0.36842105263157915,0.03883246127013439,13.01952378498044,2.0,0.1,0.2
commons-lang-hl-23-24-25_1689_0757_7577_f0c63993.pt,1.0,12.0,39.0,3.25,3.25,6.5,0.38247863247863245,0.4423076923076923,0.2884615384615385,0.1295200525969757,0.15450361604207763,0.10552268244575937,0.15384615384615385,0.4358974358974359,1.9999999966666666,0.5702479338842976,0.768595041322314,0.3,0.15950413223140494,9.854101966249685,3.0,0.25,0.5
opennlp-hl-23-24-25_1524_0036_2053_125717fa.pt,0.0,4.0,10.0,2.5,2.5,5.0,0.1499999999999999,0.10000000000000009,0.07499999999999996,0.28,0.26,0.255,0.3,0.8,1.1999999976,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.3333333333333333,5.707106781186548,1.0,0.25,1.0
